,job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
295,296,Digital Illustrator,"GB, ENG, London",Student Beans Mag,,"The Beans Group is a media company that exists to empower young people to thrive.  We have been on an exponential growth spurt since our inception as #URL_8d1ca4faf2d2518ce9ec21b3fbe5c63e4b47f383d6bb1f0a681ff6cc801b4550# in 2005 and in 2013 we won Digital Business of the Year. The Beans Group owns two brands: Student Beans, our youth media brand, strives to make life a little more awesome; and Voxburner, our youth insights consultancy, helps young people to be understood.We have created a business we are passionate about and really proud of. To continue to grow we need brilliant people who inspire and deliver change all around them - that's why we're looking for talented, ambitious and creative folks to come and join us.","The CompanyThe Beans Group is a media company that exists to empower young people to thrive.  We have been on an exponential growth spurt since our inception as #URL_8d1ca4faf2d2518ce9ec21b3fbe5c63e4b47f383d6bb1f0a681ff6cc801b4550# in 2005 and in 2013, we won Digital Business of the Year. The Beans Group owns two brands: Student Beans, our youth media brand, strives to make life a little more awesome; and Voxburner, our youth insights consultancy, helps young people to be understood.The RoleThe UK’s leading student website, Student Beans, is on the hunt for a Digital Illustrator to produce awesome, engaging and entertaining images for our website. You will be responsible for producing and sourcing visual content in a fun, fast-paced environment. You will be working with the Editor to create cute, funny and compelling images targeted (naturally) at a student demographic. Ranging from infographics to cartoons to photo collages, this will be a role as varied as you can make it.You will be working alongside a small team of passionate, funny and creative writers, reporting to the Editor. If you are someone who has had work experience illustrating at online publications, who can illustrate in a number of styles with fantastic ideas and want to put your work in front of millions of 16-24 year-old eyes, we’re going to get on famously.",Degree in design/illustration or relatedProven Photoshop and Illustrator skills for preparing images for webAbility to work to briefA variety of work experience at online publicationsKnowledge of and passion for online mediaUnderstanding of how to get results via social mediaUnderstanding of copyright and image rights,"Life at The Beans GroupThere are many things that make working at The Beans Group rewarding but we believe that a business is only as good as the people who work there - which is why we only hire great people! We are building a business which we are passionate about and really proud of. If you have what it takes to delight, inspire and empower those around you, then these are some of the things you can look forward to enjoying…Multiple Award-Winning Company and Brands; Entrepreneurial Startup Culture with Security of being Fully-Self-Funded; Major Growth Plans; Awesome Team; Competitive Salary; In-House Training and Development; International Opportunities; Childcare Vouchers and On-Site Childcare Facilities; Table Foosball; Discounted Gym Membership; ad hoc Partnership Discounts (e.g. Tastecard, Local Dining Establishments); Office Remote-Control Helicopter and Nerf Gun Collection; World Renowned Speakers - Past speakers include David Allen &amp; David Taylor**Recruitment AgenciesIf you want to work with us on this role, please take a look at our instructions here. We do not work with agencies in any capacity other than this and do not take sales calls under any circumstances. If you ignore these simple guidelines, we can't work with you. They'll tell you everything you need to know.",0,1,1,Full-time,Entry level,Bachelor's Degree,Online Media,Art/Creative,0
296,297,Battery Expert,"DE, BY, Wiepoldsried",tech,,hello worldtalents23_ drives the change in digital recruitment and develops the best quality filters for the selection of top talents.,"We have extensive experience in battery storage technologies and renewable energies. As a medium-sized enterprise specializing in storage systems, we are committed to the highest quality, ""Made in Germany"". The company is exclusively manufactured at the company's headquarters in Allgäu, where it is also subjected to thorough quality control. With this background, we have also been TÜV certified since 2011.Your Responsibilities:Test and evaluate best of class battery products with Inverter Expert - both proven and emerging technologiesImplement battery products into overall storage system design and test for reliability and qualityDevelop quality control and service protocolsMinimum of 6 month stay in Bavaria/ Germany with a possible extension of up to 1 year with follow up employment in California ","Expert in US battery systems rules in NEC 2014, UL standards,Awareness of new battery technologies emerging from US / GlobalMinimum education - Bachelor in engineeringMinimum of 3 years experience in the area of expertiseMust work independently and must be a self – starter ","Want to be part of a fast growing, high energetic and motivated team?We afford a interesting place to work where you can expect a varied field, high self-reliance and numerous development potentialities.",0,1,1,Full-time,,,,,0
297,298,Mobile Applications Developer,"US, TX, Austin",Information Technology Group,,"Why CSD?CSD is not only a great place to work, but also to learn, grow and give back to the community. Our organization is made up of talented, motivated people from diverse cultural, educational and professional backgrounds. We believe in teamwork, shared ideas, and creating solutions together while respecting individuality and innovation. We seek out people who want to see their ideas put into action, are committed to making a difference and who believe that more is possible! Who We AreHere, you will discover colleagues who have passion for our company, our community, customers and each other, and that are led by a team of outstanding people who believe that more is possible from each and every one of us. ","The Mobile Applications Developer at CSD will design and deliver application interfaces, business functionality, and web services required to enable a rich mobile user experience for CSD’s next generation products. This postion will design and develop mobile applications for integration into CSD's existing and new web products. This job is a key collaborating mobile applications expert among our small, creative and driven Agile software engineering and QA teams, focused on enabling and delivering innovative products and technology solutions to serve the Deaf and hard of hearing community. This Opportunity Features...Flexible work schedules, including Friday work-from-home each week 20% ""Innovation Time"" can be approved for research and development innovations (your ideas!) that benefit our business and your personal development Top of the line technology equipment  Free on-site snacks / coffee cafe Professional development opportunities Chance to learn or enhance American Sign Language (ASL) skills via free on-site classesFree employee parking at our new state-of-the-art dowtown office facilitiesComprehensive paid time off and group health, life and disability benefits, retirement plan and much more","BS in computer science or a related field, or significant equivalent experience.At least 2 years experience in mobile application development in IOS and/or AndroidProven record of delivering scalable, high-quality mobile applications, including a portfolio of recent applications that can be reviewed during the interview process.  Experience with the implementation and use of API interfaces in the development of mobile solutions; REST experience preferredAbility to prototype ideas and work with to translate them into actionable feature setsProven experience working with cross-device developmentProficiency in Objective-C and/or JavaSuccessful experience working in an agile/scrum team environmentKnowledge of free/open source software technologies, practices, and principles.Experience creating mobile applications from conception to productionKnowledge of current coding techniques and best practices.Experience with Ruby on Rails preferredAbility to effectively communicate in American Sign Language (preferred, but not required).","CSD offers a competitive benefits package for full-time employees. For a full list of benefits and perks, please visit the career's page. Communication Service for the Deaf, Inc. is an Equal Opportunity Affirmative Action Employer and drug free and tobacco free workplace.",0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0
298,299,Sales Representative with Management Training - DirecTV,"US, TX, McAllen",DTVMA,45000-67000,"Argenta Field Solutions values the client, creates income streams for them through our sales mechanism and focuses on quality &amp; numbers rather than numbers alone. While this is paramount to our foundation, the foundation itself is our people. Environment, Training and Compensation are the tripod that support our workforce. The same way we believe in quality of sales, we believe even more in quality of our people's environment, training and compensation.To setup an interview, call our recruiting department Monday-Friday from 9am-5pm @ (361) 400-2907","Interviewing Now for Sales Rep Positions in McAllen TX. Football season is upon us and our McAllen market requires we hire 6 new DirecTV Sales Representatives to sell HDTV satellite service. Current Sales Reps averaged $985 a week for October 2014. We pay weekly, offer management training and benefits for Managers.Positions now available in McAllen TX. We provide all the tools and training to be highly successful and seek top performers to step up into leadership roles. Positions- Sales- Assistant Manager- Market Manager Compensation- $45k-$67k per year (entry level)  - Weekly pay - Direct deposit  - Bonuses (daily, weekly &amp; monthly)","- Sales experience preferred- Ability to work in high energy, team environment- Goal/Career Oriented- Strong work ethic - Professional integrity - Pre-employment screening","- AFLAC- Health Insurance (Management) - Training (Initial &amp; Ongoing)- Vacation &amp; sick time- Paid travelApply Now by contacting David @ (361) 400-2907 between M-F 9am-5pm(This is not a telemarketing or call center position)  To learn more about Argenta Field Solutions, visit our website @ #URL_1d9e75fb4100e4ecdc0d72a1205f398abb97bf07f3018745f8fbcab82dc07ef3# Argenta Field Solutions - Locations Currently Hiring711 N Carancahua St, Suite 1750, Corpus Christi TX 7840115600 San Pedro Ave, Suite 105, San Antonio TX 782323463 Magic Dr, Suite 252, San Antonio TX 782292855 Mangum Rd, Suite 417, Houston TX 770921100 E Nasa Pkwy, Suite 410, Houston TX 770589896 Bissonnet St, Suite 454, Houston TX 770362201 N Collins St, Suite 252, Arlington TX 760114101 McEwen, Suite 530, Dallas TX 75244222 E Van Buren, Suite 511, Harlingen TX 785501001 S 10th St, Suite 201, McAllen TX 785011111 Park Centre Blvd, Suite 207, Miami FL 33169keywords: sales, outside, direct, commission, cable, security, alarm, security, internet, tv, directv, dish, satellite, assistant manager, manager, customer service, csa, salesman, salesmen, career, job, door, field, waiter, waitress, bartender, server, d2d ",0,1,0,Full-time,Not Applicable,Unspecified,Consumer Services,Sales,0
299,300,Customer Service Associate - Part Time ,"US, OH, Fairfield",,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth."," The Customer Service Associate will be based in Fairfield, OH. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Perform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Lift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assigned (Filing, outgoing shipments, etc)Operating mailing, copy or scanning equipmentShipping &amp; ReceivingHandle time-sensitive material like confidential, urgent packagesPerform other tasks as assignedScanning incoming mail to recipientsPerform file purges and pullsCreate files and ship filesProvide backfill when neededEnter information daily into spreadsheetsIdentify charges and match them to billingSort and deliver mail, small packages","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredAdministrative support experience in the insurance industry strongly preferredKeyboarding and windows environment PC skills strongly preferredStrong working knowledge in Word, Excel, Adobe and OutlookExcellent communication skills both verbal and writtenAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policyLifting up to 55 pounds with or without accommodationSitting / Standing for long periods of timeUPS shipping backgroundBe able to operate a forklift ",,0,1,0,Part-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0
300,301,Receptionist,"US, VA, Virginia Beach",,,"Tidewater Finance Co. was established in 1992 for the initial purpose of purchasing, and servicing retail installment contracts. There are two divisions: Tidewater Credit Services, providing indirect consumer retail finance options and Tidewater Motor Credit, providing indirect consumer auto financing. We remain committed to offering a partnership with the dealers and consumers to create a WIN-WIN-WIN situation. Our success relies solely on the success of our dealers and our consumers.Full time positions include the following benefits:40 vacation hours after 6 months of employment, 80 vacation hours after 1 year of employment6 paid holidays as well as an anniversary holiday benefitPaid personal and sick leave after 90 days of employmentFull benefits to include health, dental, life and disability insuranceA 401k plan with a company match after 6 months of employment based upon a quarterly entry dateIncentive bonuses for individual and team goals (certain positions)Bilingual Spanish eligible for differential pay","To apply please visit our website at #URL_06ae9636e61d7ddfc75b7dec9887f7022036b464a1ef22d098f1e03084cd3614# and click on our Careers page.Tidewater Finance Company, located in Virginia Beach, VA has a full-time position available as Receptionist in our Support Department. Our mission as a company is: To provide diverse lending solutions for our dealer network while promoting employee integrity, teamwork and an uncompromised level of customer service. Qualified candidates should possess the following characteristics including,but not limited to:• Professional demeanor• Excellent verbal and written communication skills• Adaptability and flexibility • Knowledge of Excel and Word is a plus• Ability to multi-task• Punctual and organized• Displays enthusiasm and a positive attitude• Eager to take on additional job responsibilities as needed• Ability to work independently• Proficient knowledge of a computer system is required for this position","The duties for this position include, but are not limited to:• Operating our main switchboard and directing calls to the appropriatedepartment• Welcoming and greeting customers and visitors entering the building• Providing front desk assistance as needed• Processing returned mail and updating customer information• Counting and balancing incoming customer payments and cash drawer (part-timeposition)• Other duties as assigned by managementAt least 1 year experience as a receptionist in an office setting is required. Bilingual in Spanish is a plus. ","The standard hours for this position are: • Full-time -- Monday through Friday, 8:00 am to 5:00 pmWe offer a competitive salary based on experience and a comprehensive benefits package. To apply please visit our website at #URL_06ae9636e61d7ddfc75b7dec9887f7022036b464a1ef22d098f1e03084cd3614# and click on our Careers page.Tidewater Finance Company is an equal opportunity employer in all aspects of employment without regard to race, age, sex (including pregnancy), marital status, religion, disability, genetic information, military status or any other characteristic or status protected by law.  Tidewater Finance Company includes Tidewater Motor Credit and Tidewater Credit Services.",0,1,0,Full-time,Entry level,,Financial Services,,0
301,302,Employee at RhodeCode (Berlin),"DE, BE, Berlin",G&A,35000-100000,"RhodeCode provides the leading source code management solution for enterprises. We are powering the world`s largest organizations, who depend on our products to make their software development process more flexible, collaborative, productive &amp; secure.Every day millions of developers, project managers and QA engineers are using our innovative software which plays a central role in their work life.Our company core values are about questioning the existing, being open &amp; delivering just the absolutely outstanding.Everyone who is with us is an expert in his/her field of expertise, works in a small team of other gifted A-players and helps to achieve the team's mission. Everyone takes full responsibility for his/her work, is treated with respect and management is just there to remove blockers. No committees, no micromanagement, just the focus on delivering the outstanding.Help us to make the world better for millions of people. Have a real impact. Apply today!","Can’t find anything suitable? Surprise us!Every day millions of developers, project managers and QA engineers are using RhodeCode Enterprise which plays a central role in their professional life to get their job done.If you want to have a real, lasting impact on the way millions of people work and you are willing to go the extra mile to ship just outstanding work then joining our Berlin A-players team may be something for you.","If you have already set your professional goals, can demonstrate a particular skill set, or want to take advantage of a certain training opportunity, you don’t need to wait for us to write out a job description. Take the initiative and send us your application and let us know how you can make a difference at RhodeCode.","Comprehensive compensation package, including stock optionsQuiet work environment with 3-5 people rooms next to a park and riverFlexible working hoursOpportunity to have a real impact",0,1,0,Full-time,Entry level,Unspecified,Computer Software,,0
302,303, RNs Needed ASAP - ER & ICU - APPLY NOW!! ,"US, TX, Houston",,,"TAA (Talent Advertising Agency) Creative Group is a fast-paced, talent development and recruiting firm. We place highly qualified sales, medical and management professionals with employers across the nation.You can visit our websites for more information: #URL_4d0198c7517abb9ab4459c6b8cae8b880a52ded056ae9e4c5e7f781fcb5ee5c8#","Hiring for Full time and Per Diem shifts throughout the Houston Metro area.  For immediate consideration please APPLY ONLINE!!! CALL US IF YOU HAVE ANY OF THESE SKILLS / SPECIALTIES!! ER (Emergency Room Department), ICU (Intensive Care Unit), RN (Registered Nurse) TAA Creative Group (Talent Recruitment Services)is a fast-paced, talent development and healthcare recruiting firm. We recruit and staff top talent for employers nationwide including registered nurses, licensed vocational nurses, certified nursing assistants and more.   To Apply for this position, please call, e-mail or visit our website: Talent Recruitment Services (TAA) #PHONE_07b7acdbeda287f69f60e24cec9451979cb77575b9ade88d05a075ec691a33de# #EMAIL_4567b2e4c5520d5a2ec199e18f59c8e9eb868e84d9e8af299767d9b969440bbb# #URL_4d0198c7517abb9ab4459c6b8cae8b880a52ded056ae9e4c5e7f781fcb5ee5c8#",• Current Texas RN license or compact license from another state.• Minimum 1 year of experience in the last 2 years.,• Sign on Bonuses • Referral Bonuses • Top Pay • 12 hour shifts • PTO Plan• Multiple facilities,0,1,0,Full-time,Not Applicable,Unspecified,Hospital & Health Care,,0
303,304,Electrical Project Engineer,"US, OK, Oklahoma CIty",,80000-100000,,"Responsible for the planning, specification and construction coordination of electrical facilities.  The facilities can include batteries, generator stations, and oil field electrical power systems and substations.  The position will also work with client’s field staff to provide project updates and day-to-day field support.  This position will primarily work out of the Oklahoma City Corporate Office but will be required to travel frequently to support customer needs.","Bachelor’s Degree (electrical engineering degree a plus)Minimum 1 year oil/gas electrical experience with an E&amp;P company preferredExperience in power systems, substations, and power line projects preferredProficient verbal and written communicationAble to be flexible as job demandsAbility to accept responsibility and account for their actionsWillingness to be on call, work overtime, Weekends, Holidays and Travel on Short notice","100% Medical, dental and vision insurance premiums for Employee, Spouse and children paid by company.Very competitive Pay",0,0,0,Full-time,Not Applicable,Bachelor's Degree,Utilities,Engineering,0
304,305,Litigation Support Analyst ,"US, CA, Palo Alto",,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","The Litigation Support Analyst will be based in our Palo Alto, CA client location.  The ideal candidate will be an integral part of our talented team, supporting our continued growth. This individual will be responsible for processing litigation support projects applying litigation support technology to PBLS clients including attorneys, paralegals and support staffResponsibilities include, but are not limited to: Gain understanding and specifications for lit support projects and applying best practices for litigation support services.Provide assistance to the Litigation Support Team Lead with on-demand training and assistance with client requests.Troubleshoot litigation support applications.Scan and perform file conversion functions for paper and electronic documents.Apply bates and/or special message stamping to .tiff images.Print images directly to paper using separator sheets.Export productions to CD/DVD.Create standard .tiff image based load files and load to test database.Any other duties that may be assigned.","Position RequirementsQualified candidates will have a minimum of 1-2 years experience in a litigation environment with knowledge of the litigation process and an understanding of the use of technology to assist litigation support efforts.Demonstrated expertise with Ipro Copy+, eScan-it, LAW Modules, Ribstone,  Access, Excel, Readysuite (or similar), Adobe AcrobatWorking knowledge of the litigation process with emphasis on discovery, document production, document management, coding and scanning procedures and use.Responds promptly to clients and/or staff needs and solicits feedback to improve service; meets commitments.Must be willing to accept instruction and feedback from attorneys, staff, Pitney Bowes Legal Consultants.Assists Litigation Support Team Lead with the upkeep of department files, follows department procedures; improves and maintains record keeping.Must be flexible and willing to work task to completion beyond normal business hours, if required.Reacts well under pressure and is comfortable working in potentially high pressure situations.Contributes to building a positive team spirit; treats others with respect and consideration; inspires the trust of others. Must be able to get along with all members of the department.Takes pride in work product and pays close attention to detail. Looks for ways to improve and promote quality. Monitors own and others work to ensure quality.Maintains confidentiality.Continuously strives to build knowledge and skills; shares expertise with others.Assesses own strengths and weaknesses; sets and achieves challenging goals.Displays willingness to make decisions; exhibits sound and accurate judgment; includes appropriate people in decision making process; makes timely decisions.Maintains an excellent attendance record and demonstrates dependability and professionalism.Previous law firm experience helpful.1 - 2 years related experience and/or training; or equivalent combination of education and experience.High school diploma or equivalency required. Some college preferred.",,0,1,0,Full-time,Entry level,High School or equivalent,Legal Services,Other,0
305,306,English Teacher Abroad ,"US, MI, East Lansing",,,We help teachers get safe &amp; secure jobs abroad :),"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today ",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
306,307,Customer Service Team Lead ,"US, NY, New York",,,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","We are currently seeking a Customer Service Team Lead. The right candidate will be an integral part of our talented team, supporting our continued growth. This position will be located in our New York, NY location.Responsibilities include, but are not limited to:We are looking for a Team Leader willing to do “whatever it takes” to get the job doneIdeal candidate has a “can do” attitude with excellent communication skillsSelect, develop, motivate, and maintain a properly staffed team, so that all work is processed in accordance with service level agreementsCompile, generate, and publish reports to ensure internal and external accuracy and productivityCoach employees for performance and developmentProvide clients with updated documentation for all processesDevelop plans for improving quality, and efficiency by reviewing work flows, procedures, systems and performanceConstantly monitor the workflow and utilize manpower in the most effective manner to ensure satisfaction of all service level commitments and maximization of cost effectivenessResponsible for scheduling vacations, floating holidays, overtime hours, and backup coverage for employeesResponsible for maintaining equipment and performing software updatesMeet critical client expectations and deliver results in a timely mannerIdentify and create the potential for add-on business by developing a deep understanding of the client’s business strategy and needsMaintain constant contact with the client for system changes to ensure that the department runs efficientlyMaintain efficient and accurate updates of customer's operation to ensure customer and client satisfaction. These goals are met through example and guidanceEnsure employees are cross trained and able to perform a variety of roles whenever necessaryManage daily team huddlesProfessional attire","Required Qualifications:High school diploma required /undergraduate degree preferredMinimum of 3 years supervisory experience managing a staff of non-exempt employees in a client facing environmentStaff management experience including; establishing performance expectations and performance monitoring, corrective action documentation, as well as staff development and coachingStrong computer proficiency in email environments, MS Office, Outlook, ExchangeExcellent oral and written communication skillsAbility to excel in a fast-paced, multi-tasking, team environmentAbility to coordinate available resources to provide effective operationAbility to perceive and analyze client, employee, and technical problems. Must be able to develop alternatives and make recommendationsMust be flexible and have the ability to handle many projects at one timeMust be self-motivated and able to perform with minimal supervisionAbility to complete and write concise reports, procedures, and documentation that are error freeCreative thinkerOutstanding work ethicTarget-drivenEnthusiastic and passionateMay be required to lift items weighing up to 50 poundsMay be required to stand for long periods of timeAbility to meet attendance policyAvailability to work additional hours if neededFamiliarity with Reprographics CentersSuccessful completion of a pre-employment drug test, employment history check, credit check and criminal background check ",,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
307,308,Product Manager Mobile Apps (m/w),"DE, BY, Munich",tech,,hello worldtalents23_ drives the change in digital recruitment and develops the best quality filters for the selection of top talents.,"We are a fast-growing venture-capital financed company with offices in Munich (Germany) and Zell am See (Austria).The team members come from around the world and bring a wide range of hospitality and SaaS experience. This knowledge is intrinsically incorporated in the architectural and functional uniqueness of our product. So it’s no wonder that we are said to have hotel business in our blood.How we workWe are a 4 product managers, 16 developers, and 2 designers challenging the traditional hotel management software industry with our cloud solution. We are organized in small, focused and independent agile teams with a product manager and a couple of developers each. Our process is SCRUM. Product managers and developers sit together and most of the conversation and alignment is done over the desk.Your roleThe product strategy is built around mobile access. Hotel staff carry around tablet devices in order to serve guests anywhere in the hotel. Now, we are extending the mobil access to guests: Checking-in without queuing, opening room doors and even booking the next stay can be done via the guests’ smartphones.We need your help in order to manage and implement our mobile roadmap. You identify mobile phone opportunities for hotel operations efficiency, guest experience and online marketing. You love to develop concepts, functional designs, wireframes and discuss ideas with customers and colleagues. Last but not least you make friends with our engineers and manage external agencies.",2 years + of hands-on product management experience (mobile apps)Travel / hospitality industry experience (desired)Fluent English (we are an international team)Strong team orientation and conceptual leadershipLean thinkingExacting attention to detail,"Launch product featuresBreak down product vision into product strategy and roadmapWrite user storiesCreate wireframes, work together with designersEngage closely with our software engineers and external partners’Ensure correctness and quality of systemsCommunicate and align",0,1,1,Full-time,Associate,,Hospitality,Product Management,0
308,309,".NET Developer, Hong Kong","HK, , ",,,"Professional Technology Resourcing, Managed Services, Contracting, Project Management and Executive Placement Services.","One of our clients, an international investment bank, has asked us to find a contractor to work onsite with their internal team in Hong Kong for 3-4 months.We require an experienced .NET web applications developer with exposure to the following;Technologies – Web application development with Java/.NET, HTML5 – Sybase, Oracle – Crystal Reports – Business Objects knowledge desirableThis project is to design, develop and implement the migration of one existing system to the new system and it is essential that you have active directory integration and SSO #URL_cdd2a7854bbe05474a302a1ca9fc460fd3b43b44ba58bd46ae172e66fc0bea22# is a mission critical project starting immediately for 3-4 months.",,,0,1,0,Contract,Not Applicable,,Banking,Information Technology,0
309,310,English Teacher Abroad ,"US, TX, Lubbock",,,We help teachers get safe &amp; secure jobs abroad :),"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today ",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
310,311,"Production Manager - Video Production, London","GB, , ",,,"90 Seconds, the worlds Cloud Video Production Service.90 Seconds is the worlds Cloud Video Production Service enabling brands and agencies to get high quality online video content shot and produced anywhere in the world. 90 Seconds makes video production fast, affordable, and all managed seamlessly in the cloud from purchase to publish. http://90#URL_fbe6559afac620a3cd2c22281f7b8d0eef56a73e3d9a311e2f1ca13d081dd630#90 Seconds removes the hassle, cost, risk and speed issues of working with regular video production companies by managing every aspect of video projects in a beautiful online experience. With a growing global network of over 2,000 rated video professionals in over 50 countries managed by dedicated production success teams in 5 countries, 90 Seconds provides a 100% success guarantee.90 Seconds has produced almost 4,000 videos in over 30 Countries for over 500 Global brands including some of the worlds largest including Paypal, L’Oreal, Sony and Barclays and has offices in Auckland, London, Sydney, Tokyo and Singapore.http://90#URL_fbe6559afac620a3cd2c22281f7b8d0eef56a73e3d9a311e2f1ca13d081dd630# | http://90#URL_e2ad0bde3f09a0913a486abdbb1e6ac373bb3310f64b1fbcf550049bcba4a17b# | http://90#URL_8c5dd1806f97ab90876d9daebeb430f682dbc87e2f01549b47e96c7bff2ea17e# ","DESCRIPTIONOur rapidly expanding business is looking for a talented Project Manager to manage the successful delivery of video projects, manage client communications and drive the production process.We are entering the next growth stage of our business and growing quickly internationally.  Therefore, the position is bursting with opportunity for the right person entering the business at the right time. We are 90 Seconds90 Seconds are the the worold's cloud video production service.  We produce high quality, fast turnaround, affordable online videos. 90 Seconds works with hundreds of clients across a wide range of industries including the finance, leisure, technology and charity sectors and also works with a large variety of Global Corporates, NGO’s, Government and Startups.Staff, Freelancers &amp; Clients love 90 Seconds:Cloud video production platform - creating world class videos fast and efficiently from purchase to publishExperience - 4,000 videos produced for 600+ clientsGlobal - 1400+ freelancers globally shooting in over 30 countries with offices in London, Tokyo, Sydney &amp; AucklandREQUIREMENTSWhat we expect from youYour key responsibility will be to communicate with the client, 90 Seconds team and freelance community throughout the video production process including, shoot planning, securing freelance talent, managing workflow and the online production management system.   The aim is to manage each video project effectively so that we produce great videos that our clients love.Key attributesclient focused with excellent customer service and communication skillsoustanding computer knowledge and experience using online software and project management toolsexcellent organisational skills with ability to multi-task100% attention to detailmotivated, self-starter with a passion for doing excellent work and achieving great resultsability to deliver - including meeting project deadlines and budgetability to focus and work efficiently and effectivelypersonable and friendly with clients and colleaguesPrevious experience:Attitude is more important than experience at 90 Seconds, however previous experience in project management and/or production management is beneficialBENEFITSWhat you will get from usThrough being part of the 90 Seconds team you will gain:experience working on projects located around the world with an international brandexperience working with a variety of global clients on a large range of projects opportunity to drive and grow production function and teama positive working environment with a great teamPayWe are very keen to get the right person for this role and therefore are open to applications from people with different levels of professional experience.  Depending on your experience and ability to contribute to the business, the salary for this position is between £35,000 – £45,000 per annum.Reporting toGeneral Manager UKAPPLICATIONS DUE by 9pm on Friday 16 May 2014 - apply for this role via the following link together with a cover letter and your CV - https://90#URL_dfca96dcdb83f654749c8fa45b4f3bceaddfc765fdd6a0f552d679c79236f65b#In SummaryIf you think you would be a perfect match for this role, we hope you enjoy making your video and we look forward to hearing from you.",,,0,1,0,,,,,,0
